# MIST version number  = 1.1     
# MESA revision number =     7503
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2703  1.42000E-02     0.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   694   25
#   1                               2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25
# EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                           log_L                          log_LH                         log_LHe                        log_Teff                           log_R                           log_g                      surface_h1                     surface_he3                     surface_he4                     surface_c12                     surface_o16                    log_center_T                  log_center_Rho                    center_gamma                       center_h1                      center_he4                      center_c12                           phase
  115         7.2999999999999998E+000         1.0000000000000013E-001         9.9999877219896297E-002        -1.0921997191472435E-015         0.0000000000000000E+000         0.0000000000000000E+000        -2.0907601611138591E+000        -6.6205891368808354E+000        -9.8999999999999972E+001         3.4781726472866601E+000        -4.7904822294813615E-001         4.3962421302280896E+000         7.1539283770837392E-001         6.6324645081621621E-005         2.7025513764772485E-001         2.4965358274886807E-003         6.1088852298628723E-003         6.3468626071046366E+000         1.3331186818609457E+000         3.1432055043386020E-001         7.1539283770837381E-001         2.7025513764772496E-001         2.4965358274886811E-003        -1.0000000000000000E+000
  116         7.2999999999999998E+000         1.0210142071117295E-001         1.0210129518494013E-001        -1.1340078706693193E-015         0.0000000000000000E+000         0.0000000000000000E+000        -2.0810290193206753E+000        -6.5823652781115687E+000        -9.8999999999999972E+001         3.4788969335983535E+000        -4.7563122467493257E-001         4.3968089687889895E+000         7.1539283768194195E-001         6.6324671442505095E-005         2.7025513764808029E-001         2.4965358274889001E-003         6.1088852298634092E-003         6.3510407251331786E+000         1.3309452704105944E+000         3.1127402203274368E-001         7.1539283768194184E-001         2.7025513764808040E-001         2.4965358274889010E-003        -1.0000000000000000E+000
  117         7.2999999999999998E+000         1.0629816295726977E-001         1.0629803191782154E-001        -1.2123111635973392E-015         0.0000000000000000E+000         0.0000000000000000E+000        -2.0614303915843641E+000        -6.5075266278590016E+000        -9.9000000000000000E+001         3.4803134434183596E+000        -4.6866493044678836E-001         4.3976565704237718E+000         7.1539283761687567E-001         6.6324736323135084E-005         2.7025513764914111E-001         2.4965358274893403E-003         6.1088852298644856E-003         6.3592769440344945E+000         1.3261791306406245E+000         3.0515987011275458E-001         7.1539283761687533E-001         2.7025513764914111E-001         2.4965358274893403E-003        -1.0000000000000000E+000
  118         7.2999999999999998E+000         1.0972571352699714E-001         1.0972557790490105E-001        -1.2631936017235921E-015         0.0000000000000000E+000         0.0000000000000000E+000        -2.0454906379816498E+000        -6.4466247308301812E+000        -9.8999999999999986E+001         3.4814305570780451E+000        -4.6292928096480002E-001         4.3982565034459107E+000         7.1539283756076877E-001         6.6324792242152886E-005         2.7025513765029430E-001         2.4965358274896990E-003         6.1088852298653625E-003         6.3660111079467310E+000         1.3221131071193286E+000         3.0010810650834852E-001         7.1539283756076855E-001         2.7025513765029430E-001         2.4965358274896990E-003        -1.0000000000000000E+000
  119         7.2999999999999998E+000         1.1414662491482337E-001         1.1414648332508903E-001        -1.3221148135808917E-015         0.0000000000000000E+000         0.0000000000000000E+000        -2.0249591852927900E+000        -6.3682997437705531E+000        -9.8999999999999986E+001         3.4828432744815871E+000        -4.5548898942745519E-001         4.3989455949925214E+000         7.1539283747604832E-001         6.6324876639484471E-005         2.7025513765243059E-001         2.4965358274901608E-003         6.1088852298664936E-003         6.3746883854152641E+000         1.3167239413028231E+000         2.9355550820451387E-001         7.1539283747604798E-001         2.7025513765243059E-001         2.4965358274901608E-003        -1.0000000000000000E+000
  120         7.2999999999999998E+000         1.1819114090869012E-001         1.1819099381487144E-001        -1.3715711624647564E-015         0.0000000000000000E+000         0.0000000000000000E+000        -2.0061817286109656E+000        -6.2968079995147317E+000        -9.8999999999999972E+001         3.4841158897858175E+000        -4.4864549169500373E-001         4.3995026756177040E+000         7.1539283738024562E-001         6.6324972019674505E-005         2.7025513765539855E-001         2.4965358274905837E-003         6.1088852298675266E-003         6.3826133704593584E+000         1.3116747397075983E+000         2.8753547316538208E-001         7.1539283738024551E-001         2.7025513765539855E-001         2.4965358274905841E-003        -1.0000000000000000E+000
  121         7.2999999999999998E+000         1.2198729336919031E-001         1.2198714099508548E-001        -1.4024410357380087E-015         0.0000000000000000E+000         0.0000000000000000E+000        -1.9886182729476958E+000        -6.2296616994627350E+000        -9.8999999999999986E+001         3.4852610793254475E+000        -4.4215414294262867E-001         4.3998893614835710E+000         7.1539283729891978E-001         6.6325052857908913E-005         2.7025513765891696E-001         2.4965358274909822E-003         6.1088852298685015E-003         6.3900739794880579E+000         1.3066560895142507E+000         2.8178327483295545E-001         7.1539283729891923E-001         2.7025513765891696E-001         2.4965358274909814E-003        -1.0000000000000000E+000
  122         7.2999999999999998E+000         1.2592716803576381E-001         1.2592701017652982E-001        -1.4372416478506021E-015         0.0000000000000000E+000         0.0000000000000000E+000        -1.9703705717335656E+000        -6.1599647368647519E+000        -9.8960895083433400E+001         3.4864462350833323E+000        -4.3540060385133372E-001         4.4002578310886840E+000         7.1539283718372659E-001         6.6325167295532665E-005         2.7025513766456027E-001         2.4965358274913934E-003         6.1088852298695085E-003         6.3977949872933593E+000         1.3014134076980892E+000         2.7582022681078194E-001         7.1539283718372615E-001         2.7025513766456022E-001         2.4965358274913934E-003        -1.0000000000000000E+000
  123         7.2999999999999998E+000         1.3040921178048651E-001         1.3040904757065444E-001        -1.4644250935712963E-015         0.0000000000000000E+000         0.0000000000000000E+000        -1.9496267568678527E+000        -6.0802806250332910E+000        -9.8470216622087776E+001         3.4877552367992632E+000        -4.2764669985033893E-001         4.4005349953974857E+000         7.1539283705774159E-001         6.6325292134870073E-005         2.7025513767327081E-001         2.4965358274918626E-003         6.1088852298706560E-003         6.4066031056756607E+000         1.2951600356216730E+000         2.6892995234007899E-001         7.1539283705774115E-001         2.7025513767327081E-001         2.4965358274918626E-003        -1.0000000000000000E+000
  124         7.2999999999999998E+000         1.3379893150717417E-001         1.3379876243989297E-001        -1.4805668771833314E-015         0.0000000000000000E+000         0.0000000000000000E+000        -1.9339333300547215E+000        -6.0196285631433275E+000        -9.7897745304903410E+001         3.4887271275012588E+000        -4.2174376784776518E-001         4.4006671300539688E+000         7.1539283695921174E-001         6.6325389490082655E-005         2.7025513768232323E-001         2.4965358274922169E-003         6.1088852298715225E-003         6.4132732693572407E+000         1.2902734138433385E+000         2.6366482636060945E-001         7.1539283695921119E-001         2.7025513768232323E-001         2.4965358274922169E-003        -1.0000000000000000E+000
