# MIST version number  = 1.1     
# MESA revision number =     7503
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2703  1.42000E-02     0.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# --------------------------------------------------------------------------------------
# number of EEPs, cols =  1519   25
#   1                               2                               3                               4                               5                               6                               7                               8                               9                              10                              11                              12                              13                              14                              15                              16                              17                              18                              19                              20                              21                              22                              23                              24                              25
# EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                           log_L                          log_LH                         log_LHe                        log_Teff                           log_R                           log_g                      surface_h1                     surface_he3                     surface_he4                     surface_c12                     surface_o16                    log_center_T                  log_center_Rho                    center_gamma                       center_h1                      center_he4                      center_c12                           phase
  192         9.0000000000000000E+000         1.0000000000000001E-001         9.9999784414655249E-002        -5.0337891428631271E-017         0.0000000000000000E+000         0.0000000000000000E+000        -3.0021177408147812E+000        -3.0045765014436530E+000        -7.4941122325960691E+001         3.4602488207948516E+000        -8.9887935981498046E-001         5.2359040009130542E+000         7.1519382082986271E-001         2.6534007076378055E-004         2.7025514897130876E-001         2.4965358266858611E-003         6.1088852298648759E-003         6.6565941711199192E+000         2.5889499440865502E+000         4.0393063880632674E-001         7.1519382082925476E-001         2.7025514897130865E-001         2.4965358266858606E-003        -1.0000000000000000E+000
  193         9.0000000000000000E+000         1.0571516553311425E-001         1.0571493545970728E-001        -5.9216727171080749E-017         0.0000000000000000E+000         0.0000000000000000E+000        -2.9525798295239967E+000        -2.9541911468397255E+000        -7.4235942831030101E+001         3.4642268951948960E+000        -8.8206655296967729E-001         5.2224061897857990E+000         7.1517620672535032E-001         2.8295398455725334E-004         2.7025514916144611E-001         2.4965358204384778E-003         6.1088852298671467E-003         6.6681146555278579E+000         2.5598565262998481E+000         3.8789134920436141E-001         7.1517620672468274E-001         2.7025514916144622E-001         2.4965358204384791E-003        -1.0000000000000000E+000
  194         9.0000000000000000E+000         1.0688346119018352E-001         1.0688322780531422E-001        -6.1011801894789846E-017         0.0000000000000000E+000         0.0000000000000000E+000        -2.9424478069319946E+000        -2.9438832498617531E+000        -7.4091577562905655E+001         3.4650400513965010E+000        -8.7862685407688534E-001         5.2196413228647316E+000         7.1517247643453208E-001         2.8668412676002641E-004         2.7025514930981737E-001         2.4965358174844532E-003         6.1088852298674095E-003         6.6704745089042925E+000         2.5539000713801263E+000         3.8460408816521258E-001         7.1517247643385229E-001         2.7025514930981748E-001         2.4965358174844545E-003        -1.0000000000000000E+000
  195         9.0000000000000000E+000         1.1485450650374485E-001         1.1485425202222306E-001        -7.3411952988472299E-017         0.0000000000000000E+000         0.0000000000000000E+000        -2.8731867240576570E+000        -2.8739963263153943E+000        -7.3110254407722351E+001         3.4705962081772928E+000        -8.5510862620130101E-001         5.2006774774688695E+000         7.1514498378716207E-001         3.1417637422842076E-004         2.7025514970911291E-001         2.4965358067976983E-003         6.1088852298708182E-003         6.6865226052371955E+000         2.5131144496520577E+000         3.6218686867436872E-001         7.1514498378639813E-001         2.7025514970911280E-001         2.4965358067976983E-003        -1.0000000000000000E+000
  196         9.0000000000000000E+000         1.1797916506392905E-001         1.1797890118809609E-001        -7.8244344899181700E-017         0.0000000000000000E+000         0.0000000000000000E+000        -2.8460267451020957E+000        -2.8466009299920723E+000        -7.2725408886165624E+001         3.4727744667181888E+000        -8.4588515380531315E-001         5.1932350271590693E+000         7.1513364640604093E-001         3.2551314969637740E-004         2.7025515031395819E-001         2.4965357973216144E-003         6.1088852298713543E-003         6.6928185544010272E+000         2.4971127687005796E+000         3.5338920163805143E-001         7.1513364640524413E-001         2.7025515031395814E-001         2.4965357973216144E-003        -1.0000000000000000E+000
  197         9.0000000000000000E+000         1.1803013888913894E-001         1.1802987486753547E-001        -7.8323416163469142E-017         0.0000000000000000E+000         0.0000000000000000E+000        -2.8455837727430220E+000        -2.8461539358400834E+000        -7.2719131387009838E+001         3.4728099996445501E+000        -8.4573473347849748E-001         5.1931137072860505E+000         7.1513345460273237E-001         3.2570494691111035E-004         2.7025515032004382E-001         2.4965357972118549E-003         6.1088852298713716E-003         6.6929212289436215E+000         2.4968518719014314E+000         3.5324577114595174E-001         7.1513345460193500E-001         2.7025515032004377E-001         2.4965357972118541E-003        -1.0000000000000000E+000
  198         9.0000000000000000E+000         1.2939156131661164E-001         1.2939126333613654E-001        -9.5992246122991297E-017         0.0000000000000000E+000         0.0000000000000000E+000        -2.7467100639188993E+000        -2.7468927006947133E+000        -7.1322419367045953E+001         3.4807372155023315E+000        -8.1215231078199857E-001         5.1659617766150063E+000         7.1508731539352044E-001         3.7184212327481890E-004         2.7025515235055164E-001         2.4965357681825469E-003         6.1088852298733535E-003         6.7157786707170475E+000         2.4385333683125516E+000         3.2125244866511526E-001         7.1508731539260295E-001         2.7025515235055175E-001         2.4965357681825465E-003        -1.0000000000000000E+000
  199         9.0000000000000000E+000         1.2944382643540353E-001         1.2944352829148531E-001        -9.6073476786537203E-017         0.0000000000000000E+000         0.0000000000000000E+000        -2.7462552085567480E+000        -2.7464360553686609E+000        -7.1315993685257595E+001         3.4807736851980078E+000        -8.1199782249227570E-001         5.1658368685045284E+000         7.1508708695437617E-001         3.7207055051310543E-004         2.7025515236244507E-001         2.4965357680264482E-003         6.1088852298733631E-003         6.7158838312192302E+000         2.4382650852879562E+000         3.2110526449120458E-001         7.1508708695345813E-001         2.7025515236244513E-001         2.4965357680264474E-003        -1.0000000000000000E+000
  200         9.0000000000000000E+000         1.4109706824639415E-001         1.4109673178757123E-001        -1.1422146244202187E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.6447711810111598E+000        -2.6447917035213995E+000        -6.9884482851375878E+001         3.4889094704028958E+000        -7.7752737912925696E-001         5.1379366280856766E+000         7.1503207017347425E-001         4.2708334209693713E-004         2.7025515634812197E-001         2.4965357272076693E-003         6.1088852298742842E-003         6.7393173594797124E+000         2.3783731287274956E+000         2.8828063056515413E-001         7.1503207017243287E-001         2.7025515634812219E-001         2.4965357272076706E-003        -1.0000000000000000E+000
  201         9.0000000000000000E+000         1.4115052145293197E-001         1.4115018480918728E-001        -1.1430468917689161E-016         0.0000000000000000E+000         0.0000000000000000E+000        -2.6443056695898526E+000        -2.6443254369465405E+000        -6.9877916236032064E+001         3.4889467929720741E+000        -7.7736926855695931E-001         5.1378086596218964E+000         7.1503179826724916E-001         4.2735522556725902E-004         2.7025515637085717E-001         2.4965357269908198E-003         6.1088852298742877E-003         6.7394248551273330E+000         2.3780984187414185E+000         2.8813007043469979E-001         7.1503179826620711E-001         2.7025515637085740E-001         2.4965357269908215E-003        -1.0000000000000000E+000
