# MIST version number  = 1.1     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2703  1.42000E-02     0.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   699   26
#   1                               2                               3                               4                               5                               6                               7                               8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22                  23                  24                  25                  26
# EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V              Gaia_G             Gaia_BP             Gaia_RP               phase
  110         7.1799999999999997E+000         1.0254361664884110E-001         1.0254349666438313E-001         3.4782651308050592E+000         4.3130434021276916E+000        -1.9982333013833211E+000         0.0000000000000000E+000            0.041368           14.792324           13.981043           12.704987           11.331605            9.551499            7.760030            7.155869            6.916255           11.168313           13.235031           12.521091           14.122007           12.943672           11.083961           12.937150            9.746706           -1.000000
  111         7.1799999999999997E+000         1.0398659178426223E-001         1.0398646996050587E-001         3.4787852549908922E+000         4.3134576017012503E+000        -1.9914850989390813E+000         0.0000000000000000E+000            0.041368           14.763229           13.950731           12.674657           11.306196            9.529879            7.744408            7.139715            6.900648           11.144861           13.205158           12.493872           14.092587           12.913126           11.061538           12.907084            9.725811           -1.000000
  112         7.1799999999999997E+000         1.0835636370846544E-001         1.0835623629357510E-001         3.4803475772733541E+000         4.3146316807569267E+000        -1.9710203187381592E+000         0.0000000000000000E+000            0.041368           14.676496           13.860318           12.584166           11.229944            9.465055            7.696989            7.090625            6.853208           11.074450           13.116056           12.412249           14.003332           12.821991           10.994092           12.817319            9.662975           -1.000000
  113         7.1799999999999997E+000         1.1247634341659556E-001         1.1247621067789426E-001         3.4817929042803506E+000         4.3156722011210960E+000        -1.9517696852668314E+000         0.0000000000000000E+000            0.041368           14.596928           13.777292           12.501022           11.159294            9.405049            7.652321            7.044316            6.808433           11.009156           13.034229           12.336720           13.921340           12.738260           10.931391           12.734764            9.604564           -1.000000
  114         7.1799999999999997E+000         1.1608248762062259E-001         1.1608235012177984E-001         3.4830054302550288E+000         4.3164896644232869E+000        -1.9350368372928679E+000         0.0000000000000000E+000            0.041368           14.529724           13.707153           12.430754           11.099038            9.353778            7.613392            7.003944            6.769352           10.953363           12.965083           12.272435           13.852125           12.667507           10.877668           12.664933            9.554459           -1.000000
  115         7.1799999999999997E+000         1.2008536172075082E-001         1.2008521892743235E-001         3.4843448100151644E+000         4.3173490064747257E+000        -1.9164412398031927E+000         0.0000000000000000E+000            0.041368           14.456216           13.630360           12.353782           11.032662            9.297379            7.570112            6.959008            6.725842           10.891888           12.889373           12.201676           13.776376           12.590006           10.818377           12.588389            9.499182           -1.000000
  116         7.1799999999999997E+000         1.2448419112222317E-001         1.2448404240447808E-001         3.4857639900230923E+000         4.3181685210393521E+000        -1.8960921286257073E+000         0.0000000000000000E+000            0.041368           14.377758           13.548386           12.271583           10.961205            9.236551            7.522645            6.909719            6.678064           10.825587           12.808527           12.125646           13.695530           12.507252           10.754287           12.506587            9.439367           -1.000000
  117         7.1799999999999997E+000         1.2827997120500187E-001         1.2827981733848567E-001         3.4869684804854035E+000         4.3188064815218521E+000        -1.8785440554560826E+000         0.0000000000000000E+000            0.041368           14.311265           13.478874           12.201847           10.900222            9.184639            7.481673            6.867149            6.636773           10.768959           12.739958           12.060841           13.626996           12.437052           10.699456           12.437146            9.388184           -1.000000
  118         7.1799999999999997E+000         1.3228007161196376E-001         1.3227991219742025E-001         3.4881818548806742E+000         4.3193377490429539E+000        -1.8601341731431971E+000         0.0000000000000000E+000            0.041368           14.243106           13.407659           12.130389           10.837274            9.130862            7.438576            6.822426            6.593308           10.710372           12.669678           11.994092           13.556780           12.365130           10.642614           12.365952            9.335030           -1.000000
  119         7.1799999999999997E+000         1.3680263345346858E-001         1.3680246772070070E-001         3.4895332089052178E+000         4.3198495346941490E+000        -1.8393128728378529E+000         0.0000000000000000E+000            0.041368           14.167121           13.328235           12.050662           10.766695            9.070543            7.389797            6.771789            6.544065           10.644628           12.591275           11.919339           13.478491           12.284891           10.578747           12.286481            9.275288           -1.000000
