# MIST version number  = 1.1     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2703  1.42000E-02     0.00     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =  1573   26
#   1                               2                               3                               4                               5                               6                               7                               8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22                  23                  24                  25                  26
# EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V              Gaia_G             Gaia_BP             Gaia_RP               phase
  138         7.7800000000000002E+000         1.0240354753007383E-001         1.0240339741770196E-001         3.4807961989394274E+000         4.7252521755788468E+000        -2.4008112298789865E+000         0.0000000000000000E+000            0.041368           15.971693           14.988293           13.613604           12.259294           10.510128            8.780179            8.157551            7.920727           12.114244           14.254086           13.450281           15.166268           13.860031           12.039626           13.849757           10.713704           -1.000000
  139         7.7800000000000002E+000         1.0478083341108990E-001         1.0478067971393518E-001         3.4814382515691085E+000         4.7250705923529308E+000        -2.3896890518830607E+000         0.0000000000000000E+000            0.041368           15.927235           14.943678           13.569319           12.220688           10.477165            8.754074            8.131232            7.894839           12.078450           14.209514           13.409403           15.122221           13.815441           12.005011           13.805653           10.681260           -1.000000
  140         7.7800000000000002E+000         1.0810112903443486E-001         1.0810097030779875E-001         3.4823383583334158E+000         4.7247138969321254E+000        -2.3740384300676078E+000         0.0000000000000000E+000            0.041368           15.865035           14.881279           13.507357           12.166540           10.430981            8.717334            8.094172            7.858406           12.028246           14.147573           13.352085           15.060631           13.753051           11.956429           13.743927           10.635744           -1.000000
  141         7.7800000000000002E+000         1.1255914718120952E-001         1.1255898162284073E-001         3.4835458428454666E+000         4.7241335211567712E+000        -2.3529277575116709E+000         0.0000000000000000E+000            0.041367           15.781862           14.797836           13.424429           12.093827           10.369036            8.667761            8.044125            7.809320           11.960828           14.064722           13.275162           14.978293           13.669553           11.891136           13.661292           10.574592           -1.000000
  142         7.7800000000000002E+000         1.1705026413003781E-001         1.1705009159809780E-001         3.4847601750777537E+000         4.7234399874068398E+000        -2.3315599678745360E+000         0.0000000000000000E+000            0.041367           15.698477           14.714169           13.341213           12.020593           10.306723            8.617567            7.993407            7.759587           11.892920           13.981636           13.197737           14.895767           13.585767           11.825308           13.578342           10.512963           -1.000000
  143         7.7800000000000002E+000         1.2044479146967155E-001         1.2044461360616782E-001         3.4857107430258969E+000         4.7228473992136895E+000        -2.3152101773623466E+000         0.0000000000000000E+000            0.041367           15.634575           14.650030           13.277377           11.964373           10.259104            8.579221            7.954619            7.721579           11.840865           13.917940           13.138269           14.832541           13.521486           11.774843           13.514696           10.465807           -1.000000
  144         7.7800000000000002E+000         1.2498801871100475E-001         1.2498783362915268E-001         3.4870476686687848E+000         4.7219880842920743E+000        -2.2930027095243881E+000         0.0000000000000000E+000            0.041366           15.547308           14.562379           13.190076           11.887506           10.194399            8.527264            7.901997            7.670062           11.769848           13.830497           13.056884           14.746200           13.433565           11.706009           13.427638           10.401652           -1.000000
  145         7.7800000000000002E+000         1.2887618168743889E-001         1.2887599038467240E-001         3.4881423505774514E+000         4.7212707858866612E+000        -2.2742132546945943E+000         0.0000000000000000E+000            0.041368           15.474864           14.489580           13.117504           11.823249           10.140148            8.483212            7.857362            7.626337           11.710369           13.757768           12.988970           14.674497           13.360489           11.648275           13.355246           10.347771           -1.000000
  146         7.7800000000000002E+000         1.3296258641968750E-001         1.3296238844201247E-001         3.4890785443117878E+000         4.7204880114922636E+000        -2.2552941037935543E+000         0.0000000000000000E+000            0.041368           15.406040           14.420485           13.048603           11.761313           10.086792            8.438412            7.812049            7.581803           11.652506           13.688710           12.923932           14.606339           13.291156           11.591874           13.286487           10.294675           -1.000000
  147         7.7800000000000002E+000         1.3658805590560957E-001         1.3658785199106172E-001         3.4897162180359227E+000         4.7198306222010444E+000        -2.2393177512007587E+000         0.0000000000000000E+000            0.041367           15.351549           14.365838           12.994100           11.711482           10.042809            8.400172            7.773455            7.543740           11.605437           13.634079           12.871998           14.552326           13.236357           11.545787           13.232073           10.250844           -1.000000
  148         7.7800000000000002E+000         1.4081599577885928E-001         1.4081578481494897E-001         3.4911322444716042E+000         4.7189615852108222E+000        -2.2178945448793330E+000         0.0000000000000000E+000            0.041367           15.266546           14.280202           12.908590           11.636115            9.980473            8.350410            7.722844            7.494310           11.536198           13.548471           12.792031           14.468170           13.150208           11.478691           13.146748           10.188777           -1.000000
