# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 19 08:30:36 2018
#
# COLUMN matchid:        User List Record
# COLUMN name_user:      User Name
# COLUMN ra_user:        User RA
# COLUMN dec_user:       User Dec
# COLUMN dist_user:      Match Distance
# COLUMN sourceid:       Source ID
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN hjdstart:       Start HJD [days]
# COLUMN hjdstop:        End HJD [days]
# COLUMN wasp_mag:       WASP-band [mag]
# COLUMN npts:           Points in Light Curve
# COLUMN tm_statnpts:    Points in Statistics Calculation
# COLUMN tm_median:      Median of Time Series [mag]
# COLUMN tm_stddevwrtmed: Std dev of Time Series wrt median [mag]
# COLUMN tm_range595:    5-95% range of Time Series[mag]
#
loc_rowid,matchid,name_user,ra_user,dec_user,dist_user,sourceid,ra,dec,hjdstart,hjdstop,wasp_mag,npts,tm_statnpts,tm_median,tm_stddevwrtmed,tm_range595
1,3,"168.83475034903935,-46.259962004245054",168.83475,-46.25996,0.00004219,1SWASP J111520.32-461535.8,168.834689,-46.259961,2453860.212755,2454662.246262,9.53855,10685,10685,9.540653e+00,5.844760e-02,2.586900e-02
2,25,"178.55438553324245,-45.82094748337028",178.55439,-45.82095,0.00018252,1SWASP J115413.11-454915.5,178.554650,-45.820972,2453862.228854,2454662.246782,8.74499,3723,3723,8.763827e+00,7.325417e-02,1.029190e-01
3,28,"194.7823589151835,-50.92314285779643",194.78236,-50.92314,0.00005687,1SWASP J125907.78-505523.2,194.782450,-50.923136,2453922.203831,2454662.266563,11.14239,123,123,1.114904e+01,6.121110e-02,1.463600e-01
4,38,"171.560559214728,-46.05233535201747",171.56056,-46.05234,0.00021639,1SWASP J112614.50-460307.7,171.560419,-46.052147,2453860.212894,2454662.246389,10.26185,19245,19245,1.026305e+01,5.518125e-02,3.350000e-02
5,51,"187.528102705004,-53.94008510210561",187.52810,-53.94009,0.00016041,1SWASP J123006.75-535623.7,187.528136,-53.939931,2453922.203495,2454662.266273,9.45928,113,113,9.457795e+00,3.184284e-02,1.060740e-01
6,74,"186.07333632516261,-53.13847376793579",186.07334,-53.13847,0.00020367,1SWASP J122417.55-530817.8,186.073153,-53.138300,2453922.203391,2454662.266157,11.54220,115,115,1.154461e+01,3.325967e-02,9.045000e-02
7,80,"199.7828907703427,-47.035734244747836",199.78289,-47.03573,0.00019103,1SWASP J131907.85-470208.1,199.782711,-47.035583,2453860.402674,2454662.266736,10.60256,5258,5258,1.064002e+01,5.258426e-02,1.020000e-01
8,94,"171.06600903782837,-46.25647980351699",171.06601,-46.25648,0.00023254,1SWASP J112415.80-461522.6,171.065836,-46.256281,2453860.212870,2454662.246377,11.10169,10898,10898,1.110532e+01,5.784202e-02,3.339000e-02
9,101,"176.99325554007712,-45.982961237658316",176.99326,-45.98296,0.00012666,1SWASP J114758.42-455858.6,176.993442,-45.982953,2453860.231817,2454662.246701,9.07326,6545,6545,9.079940e+00,5.874336e-02,9.703700e-02
10,112,"205.35752116323022,-46.631423797003535",205.35752,-46.63142,0.00013558,1SWASP J134125.85-463753.0,205.357717,-46.631411,2453860.388067,2454688.226366,11.75975,4572,4572,1.176680e+01,5.157504e-02,1.076900e-01
11,113,"188.13392765368147,-48.43350332778018",188.13393,-48.43350,0.00012649,1SWASP J123232.18-482600.3,188.134097,-48.433439,2453922.203345,2454662.266065,9.85890,116,116,9.862981e+00,6.445719e-02,1.168640e-01
12,115,"190.56968815845877,-48.198551695509984",190.56969,-48.19855,0.00030087,1SWASP J124216.64-481155.5,190.569361,-48.198756,2453922.203495,2454662.266204,11.25470,102,102,1.126080e+01,4.859976e-02,1.489900e-01
13,141,"194.75402797165717,-52.435175691951855",194.75403,-52.43518,0.00017031,1SWASP J125900.99-522606.1,194.754156,-52.435028,2453922.203866,2454662.266609,10.71852,122,122,1.072449e+01,5.671416e-02,1.438800e-01
14,143,"174.97105074134114,-45.80424208384172",174.97105,-45.80424,0.00034466,1SWASP J113953.08-454814.0,174.971172,-45.803906,2453862.482708,2454662.232407,7.49154,319,319,7.509452e+00,5.052126e-01,9.101260e-01
15,163,"194.88709366507553,-52.170875555238965",194.88709,-52.17088,0.00011105,1SWASP J125932.94-521014.9,194.887250,-52.170828,2453922.203866,2454662.266609,9.97878,123,123,9.992435e+00,6.788255e-02,1.673510e-01
16,165,"183.92417165374135,-52.367725592969585",183.92417,-52.36773,0.00053415,1SWASP J121541.98-522202.9,183.924936,-52.367472,2453922.203241,2454662.266007,11.29653,116,116,1.129159e+01,7.286055e-02,1.185100e-01
17,167,"168.75479443741125,-43.90263380079926",168.75479,-43.90263,0.00001606,1SWASP J111501.15-435409.4,168.754792,-43.902614,2453860.224479,2454662.246100,9.29561,8977,8977,9.294357e+00,7.165579e-02,3.071100e-02
18,189,"183.59449961298603,-48.72780780341919",183.59450,-48.72781,0.00008714,1SWASP J121422.70-484339.9,183.594606,-48.727758,2453922.203079,2454662.265799,10.73584,116,116,1.074048e+01,9.442297e-02,1.111000e-01
