










































































# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Mar 28 10:17:07 2018
#
# COLUMN matchid:        User List Record
# COLUMN name_user:      User Name
# COLUMN ra_user:        User RA
# COLUMN dec_user:       User Dec
# COLUMN dist_user:      Match Distance
# COLUMN sourceid:       Source ID
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN hjdstart:       Start HJD [days]
# COLUMN hjdstop:        End HJD [days]
# COLUMN wasp_mag:       WASP-band [mag]
# COLUMN npts:           Points in Light Curve
# COLUMN tm_statnpts:    Points in Statistics Calculation
# COLUMN tm_median:      Median of Time Series [mag]
# COLUMN tm_stddevwrtmed: Std dev of Time Series wrt median [mag]
# COLUMN tm_range595:    5-95% range of Time Series[mag]
#
loc_rowid,matchid,name_user,ra_user,dec_user,dist_user,sourceid,ra,dec,hjdstart,hjdstop,wasp_mag,npts,tm_statnpts,tm_median,tm_stddevwrtmed,tm_range595
1,2,"231.17644141257787,-33.8104612339165",231.17644,-33.81046,0.00015122,1SWASP J152442.38-334837.6,231.176622,-33.810461,2453860.390995,2454687.229722,10.01922,10671,10671,1.074657e+01,3.209619e-01,2.363400e-01
2,5,"226.1682380187218,-45.82838622793402",226.16824,-45.82839,0.00007011,1SWASP J150440.40-454942.1,226.168336,-45.828369,2453862.256759,2454615.531840,10.05263,7958,7958,1.005192e+01,7.174091e-02,4.454000e-02
3,11,"221.06706396750272,-36.039036239566876",221.06706,-36.03904,0.00018496,1SWASP J144416.13-360220.1,221.067233,-36.038919,2453860.389873,2454615.531991,10.82689,21554,21554,1.083814e+01,2.288651e-01,1.086500e-01
4,12,"213.81420110867833,-30.80532394370673",213.81420,-30.80532,0.00016776,1SWASP J141515.44-304818.8,213.814367,-30.805233,2453860.389977,2454688.226296,9.96524,13111,13111,9.969724e+00,1.501342e-01,1.200820e-01
5,13,"209.96780177040043,-33.875854513633506",209.96780,-33.87585,0.00023489,1SWASP J135952.33-335232.7,209.968056,-33.875750,2453860.222940,2454688.226111,12.14326,14230,14230,1.214382e+01,2.433628e-01,7.526000e-02
6,14,"210.85327890289787,-40.861769478229874",210.85328,-40.86177,0.00008356,1SWASP J140324.76-405142.2,210.853175,-40.861744,2453860.388426,2454688.226470,9.68452,15992,15992,9.693829e+00,6.378916e-02,4.505500e-02
7,15,"225.95341579968903,-31.188541784509304",225.95342,-31.18854,0.00017506,1SWASP J150348.86-311118.4,225.953606,-31.188467,2454148.500255,2454615.532222,11.00274,9990,9990,1.088603e+01,1.695056e-01,3.187600e-01
8,17,"213.45858808672017,-35.32506634847193",213.45859,-35.32507,0.00011156,1SWASP J141350.03-351930.1,213.458461,-35.325033,2453860.389850,2454688.226435,10.94076,11268,11268,1.093424e+01,8.107617e-02,9.785000e-02
9,18,"228.05872747905468,-33.46207520663924",228.05873,-33.46208,0.00014816,1SWASP J151214.13-332743.2,228.058889,-33.462014,2453860.389919,2454615.503044,9.97106,7271,7271,9.966487e+00,8.268875e-02,4.099800e-02
10,19,"220.0207685080658,-40.900751815388",220.02077,-40.90075,0.00011628,1SWASP J144005.00-405402.3,220.020869,-40.900661,2453862.256979,2454574.669479,8.36312,3266,3266,8.377287e+00,9.181311e-02,9.262600e-02
11,20,"214.1151331779214,-29.10714478470064",214.11513,-29.10714,0.00003472,1SWASP J141627.63-290625.6,214.115164,-29.107122,2453860.390023,2454688.226262,11.08306,13115,13115,1.109887e+01,1.456514e-01,9.815000e-02
12,21,"210.82397539174863,-35.04618439985416",210.82398,-35.04618,0.00025197,1SWASP J140317.82-350245.9,210.824267,-35.046089,2453860.222917,2454688.226227,11.07086,16184,16184,1.111681e+01,6.604673e-02,4.392000e-02
13,23,"220.2327453070489,-38.013569984042704",220.23275,-38.01357,0.00016158,1SWASP J144055.89-380048.4,220.232883,-38.013447,2453860.389792,2454612.508079,10.80979,11268,11268,1.081639e+01,3.142912e-01,1.652200e-01
14,24,"217.81233283796254,-35.35941061950124",217.81233,-35.35941,0.00014238,1SWASP J143114.98-352133.4,217.812422,-35.359289,2453860.389884,2454688.226782,10.91925,10861,10861,1.092816e+01,3.546641e-01,2.893500e-01
15,26,"232.44686041520194,-36.47713965989303",232.44686,-36.47714,0.00011705,1SWASP J152947.26-362837.3,232.446919,-36.477033,2453860.390891,2454687.229873,12.24426,10618,10618,1.224512e+01,3.245672e-01,2.845800e-01
16,27,"227.16031718765197,-44.01455837651145",227.16032,-44.01456,0.00011370,1SWASP J150838.50-440052.1,227.160425,-44.014475,2453862.256840,2454615.531933,10.56482,8545,8545,1.056114e+01,8.300960e-02,1.587900e-01
17,29,"214.24583375193268,-32.22668028070726",214.24583,-32.22668,0.00012205,1SWASP J141658.97-321335.8,214.245711,-32.226611,2453860.389942,2454688.226389,11.13071,11260,11260,1.110291e+01,1.065464e-01,1.882900e-01
18,30,"209.18937743932162,-43.66178060475001",209.18938,-43.66178,0.00019220,1SWASP J135645.51-433942.1,209.189631,-43.661717,2453860.388275,2454688.224931,9.67287,12628,12628,9.675616e+00,8.354664e-02,2.962300e-02
19,31,"224.64869877295834,-26.971219537826126",224.64870,-26.97122,0.00011580,1SWASP J145835.68-265815.9,224.648667,-26.971108,2454148.500486,2454615.532222,11.85023,9941,9941,1.193002e+01,1.688640e-01,3.659400e-01
20,32,"207.95258740114156,-32.385435655209434",207.95259,-32.38544,0.00017153,1SWASP J135148.67-322307.5,207.952792,-32.385422,2453860.222951,2454688.225891,11.17184,25492,25492,1.111549e+01,2.307686e-01,3.028200e-01
21,34,"229.7507192351218,-33.05783608173144",229.75072,-33.05784,0.00010821,1SWASP J151900.18-330327.8,229.750786,-33.057747,2453860.389919,2454615.532280,10.03559,13545,13545,1.017349e+01,6.916577e-02,6.513000e-02
22,35,"211.3474470104037,-37.66329881498291",211.34745,-37.66330,0.00015239,1SWASP J140523.43-373947.8,211.347642,-37.663289,2453860.222836,2454615.508426,9.04941,17735,17735,9.058802e+00,9.122036e-02,4.869700e-02
23,38,"216.1116307032175,-46.35360837557504",216.11163,-46.35361,0.00010591,1SWASP J142426.82-462112.7,216.111750,-46.353544,2453860.389745,2454662.267106,9.49360,8782,8782,9.507794e+00,5.104717e-02,5.044800e-02
